integrated_code	L2	L1	endangered_aggregated_status	eth_status	cru_docs	cru_words	cru_floss_splchk	cru_watchtower	cru_udhr	in_omniglot	la_primary_texts_online	la_primary_texts_all	la_lang_descr_online	la_lang_descr_all	la_lex_res_online	la_lex_res_all	la_res_in_online	la_res_in_all	la_res_about_online	la_res_about_all	la_oth_res_in_online	la_oth_res_in_all	la_oth_res_about_online	la_oth_res_about_all	mac_input	mac_input_partial	microsoft_pack	win10_input_method	ubuntu_pack	ubuntu_input	office13_if_pack	office13_lp	firefox_lpack	firefox_dict	wals_samples_100	wals_samples_200	indi_blogs	indi_posts	indi_words	indi_users	indi_tweets	wp_articles	wp_total	wp_edits	wp_admins	wp_users	wp_active_users	wp_images	wp_depth	wp_inc	wp_real_articles	wp_adjusted_size	uriel_feats	on_bible_org	in_leipzig_corpora	find_bible_all_versions	treetagger	endangered_langspec	endangered_lex	seed_label
stb_____________A	0.0	11.3551130893	0	5			0	0	0	0			2.0	2.0									2.0	3.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
stm_____________A	0.0	5.6330022926	7	6.0			0	0	0	0			1.0	1.0	3.0	3.0							2.0	2.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	-
stn_____________A	0.0	9.03729565196	0	5	3.0	161249.0	0	0	0	0	3.0	3.0	1.0	1.0	2.0	2.0							3.0	3.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0	2.0	0	0	1	-
stk_____________A	0.0	6.87832646829	0	5			0	0	0	0	1.0	1.0	2.0	2.0	1.0	1.0					1.0	1.0	3.0	3.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	-
ydk_____________A	0.0	6.64768837356	0	6.0			0	0	0	0			1.0	1.0	2.0	2.0							1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	-
woy_____________A	0.0	0.0	0	9			0	0	0	0			1.0	1.0									1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
wow_____________A	0.0	10.3089859934	0	6.0			0	0	0	0			1.0	1.0									1.0	2.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	1	s
stv_____________A	0.0	13.7483028778	0	4			0	0	0	1			2.0	3.0	0.0	2.0							3.0	10.0	0	0	0	0	0	0	0	0	0	0	0	0														0			187.0	0	0		0	0	0	-
abtwos1_________a	0.0	8.88197518425	0	5	292.0	258666.0	0	0	0	0	2.0	2.0	6.0	7.0	2.0	2.0							3.0	4.0	0	0	0	0	0	0	0	0	0	0	0	0														0			190.0	0	0	2.0	0	0	0	-
wor_____________A	0.0	2.19722457734	8	8.5			0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0							1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	-
wom_____________A	0.0	8.51739317142	0	6.0			0	0	0	0			1.0	1.0									1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
wol_____________A	0.0	15.1959128449	0	4	493.0	1161518.0	1	1	1	1			6.0	7.0	1.0	4.0							18.0	35.0	0	1	1	1	1	1	1	1	1	0	0	0	3.0	3.0	1093.0	13.0	38500.0	1055.0	5271.0	101317.0	2.0	8606.0	10.0	0.0	307.0	0	314.0	9425808.14103	257.0	0	1	1.0	0	0	0	v
woo_____________A	0.0	9.11723775371	0	6.0			0	0	0	0			1.0	1.0	2.0	2.0							1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	-
won_____________A	0.0	9.4494360095	0	6.0			0	0	0	0			2.0	2.0									1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			158.0	0	0		0	0	1	s
woi_____________A	0.0	8.69968140099	6	6.0			0	0	0	0	0.0	1.0	4.0	4.0	7.0	7.0							6.0	8.0	0	0	0	0	0	0	0	0	0	0	0	0														0			213.0	0	0		0	0	0	-
wok_____________A	0.0	7.78364059622	0	6.0			0	0	0	0			2.0	2.0									1.0	2.0	0	0	0	0	0	0	0	0	0	0	0	0														0			158.0	0	0		0	0	0	s
woe_____________A	0.0	7.39694860262	6	5			0	0	0	0			2.0	2.0	1.0	1.0							4.0	4.0	0	0	0	0	0	0	0	0	0	0	0	0														0			73.0	0	0		0	0	1	-
wod_____________A	0.0	8.51739317142	0	5			0	0	0	0	1.0	1.0	1.0	1.0	4.0	4.0							1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	-
wog_____________A	0.0	6.40440167005	7	6.0			0	0	0	0			2.0	2.0	3.0	3.0							2.0	2.0	0	0	0	0	0	0	0	0	0	0	0	0														0			11.0	0	0		0	0	0	-
wof_____________A	0.0	12.1281165095	0	3			0	0	0	0			1.0	1.0	0.0	1.0							1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
woa_____________A	0.0	1.60943791243	8	9			0	0	0	0			2.0	2.0	1.0	1.0							2.0	2.0	0	0	0	0	0	0	0	0	0	0	0	0														0			18.0	0	0		0	0	0	-
woc_____________A	0.0	7.44891610254	6	6.0			0	0	0	0	2.0	2.0	3.0	4.0	1.0	1.0							1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			170.0	0	0		0	0	1	-
wob_____________A	0.0	11.9576176965	0	5	1.0	263662.0	0	0	0	0			5.0	10.0	1.0	1.0							2.0	31.0	0	0	0	0	0	0	0	0	0	0	0	0														0			158.0	0	0	2.0	0	0	0	-
adu_____________A	0.0	7.55013534249	0	6.0			0	0	0	0			1.0	1.0									2.0	2.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
gmo_____________R	0.0	0.0	0	7	3.0	386539.0	0	0	0	0															0	0	0	0	0	0	0	0	0	0	0	0														0			195.0	0	0		0	0	0	-
ads_____________A	0.0	6.18517928773	6	6.5			0	0	0	0			2.0	2.0									2.0	2.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
adp_____________R	0.0	0.0	0	7			0	0	0	0			1.0	1.0									1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	-
adq_____________A	0.0	8.34307787117	0	6.5			0	0	0	0			1.0	1.0									1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
adz_____________A	0.0	10.2904831444	5	4	52.0	16444.0	0	0	0	1			5.0	5.0	1.0	1.0							7.0	31.0	0	0	0	0	0	0	0	0	0	0	0	0														0			228.0	1	0	2.0	0	0	0	-
ady_____________A	0.0	13.1058294421	0	2	102.0	10666.0	0	1	0	1	27.0	27.0	7.0	9.0	8.0	8.0							10.0	16.0	0	1	0	0	0	0	0	0	0	0	0	0						394.0	991.0	5763.0	1.0	1091.0	11.0	0.0	0.0	1	116.0	605753.723405	35.0	0	0	4.0	0	0	0	-
adg_____________A	0.0	2.44234703537	8	8.5			0	0	0	0			1.0	1.0									1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
add_____________A	0.0	7.86365126545	0	6.0			0	0	0	0			2.0	2.0									1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
ade_____________A	0.0	10.529452721	0	5	1.0	255850.0	0	0	0	0			1.0	1.0	1.0	1.0							1.0	14.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0	2.0	0	0	0	-
boz_____________A	0.0	11.678448378	0	5	1.0	11837.0	0	0	0	0			3.0	3.0	1.0	1.0							2.0	2.0	0	0	0	0	0	0	0	0	0	0	0	0														0			158.0	0	0		0	0	0	-
iya_____________A	0.0	10.1145990076	0	6.0			0	0	0	0			1.0	1.0									1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
iyo_____________A	0.0	9.54688403462	0	6.0			0	0	0	0			2.0	2.0									2.0	2.0	0	0	0	0	0	0	0	0	0	0	0	0														0			14.0	0	0		0	0	0	s
adh_____________A	0.0	12.7938620882	0	5	12.0	165231.0	0	0	0	0			1.0	1.0	1.0	1.0							1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														1	0.0	0.0	0.0	0	0	2.0	0	0	0	-
iyx_____________A	0.0	9.21044036698	0	6.0			0	0	0	0			1.0	1.0									1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	1	s
jpn_____________A	13.815511558	18.6679855745	0	1	57.0	7040.0	0	0	0	1	170.0	175.0	7.0	35.0	5.0	22.0					72.0	82.0	4038.0	4082.0	0	0	0	1	1	1	0	1	1	0	1	1						1028552.0	2991680.0	61978184.0	49.0	1125367.0	12325.0	83684.0	75.0	0	633814.0	6598890353.41	273.0	0	1	17.0	0	1	1	t
jpa_____________A	0.0	0.0	0	7			0	0	0	0			1.0	1.0									1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
hba_____________A	0.0	9.47278155656	0	6.0			0	0	0	0			1.0	1.0									1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
hbb_____________A	0.0	12.6313436489	0	6.0			0	0	0	0			3.0	3.0									3.0	3.0	0	0	0	0	0	0	0	0	0	0	0	0														0			158.0	0	0		0	0	0	s
tdq_____________A	0.0	8.13768818498	0	6.0			0	0	0	0			1.0	1.0									2.0	2.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
gsp_____________A	0.0	6.38181601741	0	6.0			0	0	0	0			1.0	1.0	1.0	1.0							2.0	3.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	-
gss_____________A	0.0	8.51739317142	0	5			0	0	0	0			2.0	2.0									2.0	2.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
gsw_____________A	0.0	15.659071684	0	5	110.0	1942039.0	0	0	0	1	865.0	865.0	7.0	7.0	5.0	5.0							6.0	6.0	0	1	0	1	0	0	0	0	0	1	0	0						21745.0	48935.0	716226.0	7.0	50877.0	79.0	668.0	23.0	0	16180.0	150430763.52	28.0	0	1		0	0	1	-
gsc_____________R	0.0	12.4292201968	4	7	35.0	84529.0	1	0	0	1															0	0	0	0	0	0	0	0	0	0	0	0														0				0	0		0	0	0	-
gse_____________A	0.0	8.69968140099	0	5			0	0	0	0			1.0	1.0									2.0	2.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0	3.0	0	0	0	s
gsg_____________A	0.0	11.2897944136	0	5			0	0	0	0			2.0	2.0							1.0	1.0	550.0	550.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
gsm_____________A	0.0	0.0	0	6.0			0	0	0	0	0.0	3.0	2.0	3.0									3.0	3.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
gsl_____________A	0.0	9.64878883257	5	6.0			0	0	0	0			1.0	1.0									3.0	12.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
gso_____________A	0.0	11.612259357	7	5			0	0	0	0			1.0	1.0									1.0	5.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0	5.0	0	0	1	s
gsn_____________A	0.0	6.68586094707	0	6.0			0	0	0	0			1.0	1.0	2.0	2.0							1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	-
hji_____________A	0.0	9.77001330114	0	6.5			0	0	0	0			1.0	1.0									1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
qxr_____________A	0.0	11.5129354649	0	6.5	1.0	594.0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0							2.0	2.0	0	0	0	0	0	0	0	0	0	0	0	0														0			12.0	1	0	2.0	0	0	0	-
eee_____________A	0.0	10.3089859934	0	6.5			0	0	0	0			1.0	1.0									2.0	2.0	0	0	0	0	0	0	0	0	0	0	0	0														0			1.0	0	0		0	0	0	s
kux_____________A	0.0	6.11368217983	7	6.5			0	0	0	1			1.0	1.0	1.0	1.0							1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	-
rhp_____________A	0.0	7.16317239085	6	6.0			0	0	0	0			2.0	2.0	2.0	2.0							2.0	2.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	-
ruk_____________A	0.0	11.5129354649	0	6.0			0	0	0	0			2.0	2.0									2.0	2.0	0	0	0	0	0	0	0	0	0	0	0	0														0			158.0	0	0		0	0	0	s
cgk_____________A	0.0	10.1266711031	5	6.0			0	0	0	0			1.0	1.0									2.0	2.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
rui_____________A	0.0	12.2060776455	0	6.0			0	0	0	0			1.0	1.0									2.0	2.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
run_____________A	0.0	16.132984362	0	1	14.0	91753.0	0	1	1	1	1.0	1.0	3.0	6.0	1.0	3.0							4.0	6.0	0	1	0	0	0	0	0	0	0	0	0	0						493.0	1681.0	19825.0	0.0	4415.0	7.0	0.0	0.0	0	33.0	308141.25846	174.0	0	0	4.0	0	0	0	-
ruo_____________A	0.0	5.95971584879	7	7			0	0	0	0			2.0	2.0									2.0	2.0	0	0	0	0	0	0	0	0	0	0	0	0														0			26.0	0	0		0	0	0	s
cga_____________A	0.0	6.45990445438	7	6.0			0	0	0	0	2.0	2.0	1.0	1.0									1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	-
ruc_____________A	0.0	11.9829353442	0	6.5			0	0	0	0			1.0	1.0									1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			1.0	0	0		0	0	0	s
cgc_____________A	0.0	10.3089859934	0	4	261.0	306785.0	0	0	0	1	3.0	4.0	5.0	8.0	2.0	4.0							11.0	21.0	0	0	0	0	0	0	0	0	0	0	0	0														0			29.0	1	0	4.0	0	0	1	-
ruf_____________A	0.0	13.4473426797	0	6.0	261.0	143265.0	0	0	0	0			1.0	1.0	1.0	1.0							1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	1	0	2.0	0	0	0	-
rug_____________A	0.0	9.19735644442	0	3	13.0	7739.0	0	1	0	0	12.0	12.0	5.0	5.0	15.0	15.0					1.0	1.0	9.0	12.0	0	0	0	0	0	0	0	0	0	0	0	0														0			60.0	0	0		0	0	1	-
cgg_____________A	0.0	14.2729360379	0	4			0	0	0	0			2.0	2.0									3.0	4.0	0	0	0	0	0	0	0	0	0	0	0	1														0			97.0	0	0		0	0	0	s
rue_____________A	0.0	13.343105648	0	6.0	4.0	57648.0	0	0	0	1			1.0	1.0	1.0	1.0							2.0	2.0	0	0	0	0	0	0	0	0	0	0	0	0						5850.0	9815.0	107589.0	0.0	11948.0	17.0	0.0	5.0	0	642.0	4078312.1143	0.0	0	1	1.0	0	0	0	-
ruz_____________A	0.0	8.5352295539	6	6.0			0	0	0	0			1.0	1.0									1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
ruy_____________A	0.0	8.79951090137	6	6.0			0	0	0	0			1.0	1.0									1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
rus_____________A	18.5159909328	18.9285090462	0	0	31.0	658898.0	0	0	0	1	6.0	7.0	8.0	34.0	7.0	30.0					63.0	208.0	283.0	342.0	0	0	0	1	1	1	0	1	1	1	1	1						1338620.0	4959027.0	92887520.0	89.0	1956849.0	9751.0	191495.0	137.0	0	850160.0	10697637443.4	273.0	1	1	22.0	1	0	1	t
rup_____________A	0.0	12.2047042096	4	4	77.0	135540.0	0	0	1	1			1.0	1.0	1.0	1.0							2.0	2.0	0	1	0	0	0	0	0	0	0	0	0	0						1190.0	4674.0	257776.0	0.0	8796.0	9.0	0.0	473.0	0	98.0	560912.224659	0.0	1	1		0	0	1	-
ruq_____________A	0.0	8.51739317142	6	7	28.0	1161.0	0	0	0	1			2.0	2.0	1.0	1.0							2.0	2.0	0	0	0	0	0	0	0	0	0	0	0	0														1	0.0	0.0	0.0	0	0		0	0	0	-
rut_____________A	0.0	10.4684603944	5	4	3.0	612.0	0	0	0	1			3.0	3.0	1.0	1.0							7.0	7.0	0	0	0	0	0	0	0	0	0	0	0	0														1	3.0	34520.7522952	221.0	0	0	1.0	0	0	0	-
ruu_____________A	0.0	0.0	0	6.5			0	0	0	0			1.0	1.0									1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
bga_____________A	0.0	9.38341093666	5	8.5			0	0	0	0			1.0	1.0									1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
bgb_____________A	0.0	7.31388683163	6	6.0			0	0	0	0			1.0	1.0									1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
bgc_____________A	0.0	15.8949522246	0	6.0			0	0	0	0			1.0	1.0									3.0	3.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
bgd_____________A	0.0	11.5228856968	0	5			0	0	0	0			1.0	1.0									3.0	3.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
bge_____________A	0.0	10.2110090163	0	6.0			0	0	0	0			1.0	1.0									1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0	1.0	0	0	0	s
bgf_____________A	0.0	7.90137735379	6	6.0			0	0	0	0			1.0	1.0									2.0	3.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
bgg_____________A	0.0	6.92067150425	6	6.0			0	0	0	0			1.0	1.0									1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
bgh_____________R	0.0	0.0	0	7			0	0	0	0															0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	-
bgi_____________A	0.0	10.9151066459	0	7			0	0	0	0			1.0	1.0									1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
idt_____________A	0.0	9.51051903576	0	6.5			0	0	0	0			1.0	1.0									2.0	2.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
idu_____________A	0.0	13.3046866009	0	5			0	0	0	0			3.0	3.0									3.0	3.0	0	0	0	0	0	0	0	0	0	0	0	0														0			168.0	0	0		0	0	0	s
idr_____________A	0.0	6.55250788703	7	8.0			0	0	0	0			2.0	3.0									1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
ids_____________A	0.0	8.6466412586	0	6.0			0	0	0	0			1.0	1.0									1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
bgn_____________A	0.0	14.4032088856	0	5			0	0	0	0			3.0	4.0									4.0	8.0	0	0	0	0	0	0	0	0	0	0	0	0														1	578.0	3086248.47655	0.0	0	0		0	0	0	s
bgo_____________A	0.0	7.71912984091	6	8.5			0	0	0	0			2.0	2.0	1.0	1.0							1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			158.0	0	0		0	0	0	-
bgp_____________A	0.0	14.4037421239	0	5	1.0	1754.0	0	0	0	0	2.0	2.0	7.0	7.0	1.0	1.0							11.0	12.0	0	0	0	0	0	0	0	0	0	0	0	0														1	4.0	12565.0423758	5.0	0	0		0	0	1	-
ido_____________A	0.0	0.0	0	7	21.0	1761266.0	0	0	1	1					1.0	1.0					1.0	1.0	1.0	1.0	0	1	0	0	0	0	0	0	0	0	0	0						26738.0	40468.0	897724.0	4.0	19745.0	43.0	0.0	6.0	0	8760.0	65201646.0537	0.0	0	1		0	0	0	-
bgr_____________A	0.0	9.17383197716	5	5	1.0	208314.0	0	0	0	0	1.0	1.0	5.0	5.0	1.0	1.0							3.0	3.0	0	0	0	0	0	0	0	0	0	0	0	1														0			101.0	0	0	2.0	0	0	1	-
bgs_____________A	0.0	10.6689786502	0	4	335.0	282149.0	0	0	0	1	0.0	2.0	3.0	5.0	1.0	1.0							8.0	16.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	1	0	3.0	0	0	0	-
bgt_____________A	0.0	8.3067190432	0	5	1.0	709.0	0	0	0	0	16.0	16.0	4.0	4.0	10.0	11.0							4.0	4.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	1	-
bgu_____________A	0.0	7.84737183616	6	6.0			0	0	0	0			1.0	1.0									1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
bgv_____________A	0.0	5.70711026475	7	6.5			0	0	0	0	2.0	2.0	1.0	1.0	2.0	2.0							1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	-
idi_____________A	0.0	7.38461038318	0	6.0			0	0	0	0			2.0	3.0	1.0	1.0							5.0	6.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	-
bgx_____________A	0.0	12.6138267984	4	6.5			0	0	0	0			1.0	1.0									2.0	2.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
bgy_____________A	0.0	5.84932477995	7	8.0			0	0	0	0			1.0	1.0									1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
idd_____________A	0.0	11.5129354649	0	5			0	0	0	0			1.0	1.0									4.0	5.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
ide_____________A	0.0	8.51739317142	0	6.0			0	0	0	0			1.0	1.0									1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
idb_____________A	0.0	8.51137630609	0	6.5			0	0	0	0	18.0	18.0	3.0	3.0	8.0	8.0							4.0	4.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	-
idc_____________A	0.0	8.51739317142	6	6.0			0	0	0	0			1.0	1.0									2.0	2.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
ida_____________A	0.0	13.3013477052	0	5			0	0	0	0			1.0	1.0									2.0	3.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
syc_____________A	0.0	0.0	0	9	1.0	8792.0	0	0	0	0	1.0	1.0	3.0	3.0	2.0	2.0							2.0	2.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	h
pww_____________A	0.0	11.0021165077	0	5	1.0	304970.0	0	0	0	0			4.0	4.0	1.0	1.0							2.0	2.0	0	0	0	0	0	0	0	0	0	0	0	0														0			193.0	0	0	2.0	0	0	1	-
pwr_____________A	0.0	12.9621969727	0	6.5			0	0	0	0			1.0	1.0									1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
aqp_____________A	0.0	0.0	0	7			0	0	0	0			2.0	3.0	0.0	3.0							4.0	6.0	0	0	0	0	0	0	0	0	0	0	0	0														0			21.0	0	0		0	0	0	s
aqr_____________A	0.0	4.82028156561	8	8.0			0	0	0	0			1.0	1.0									1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			1.0	0	0		0	0	0	s
aqz_____________A	0.0	1.8718021769	8	8.0			0	0	0	0			2.0	2.0							1.0	1.0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			158.0	0	0		0	0	0	s
pwg_____________A	0.0	8.00670084544	0	5	269.0	222874.0	0	0	0	0	2.0	2.0	4.0	5.0	4.0	6.0							6.0	8.0	0	0	0	0	0	0	0	0	0	0	0	0														0			51.0	1	0	3.0	0	0	1	-
aqg_____________A	0.0	10.778977123	0	6.0			0	0	0	0			1.0	1.0									2.0	2.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
pwb_____________A	0.0	8.16080392095	0	6.0			0	0	0	0			1.0	1.0									1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
aqc_____________A	0.0	6.84268328224	6	6.5			0	0	0	1	0.0	1.0	5.0	6.0	0.0	1.0							9.0	9.0	0	0	0	0	0	0	0	0	0	0	0	0														0			245.0	0	0		0	0	0	-
pwa_____________A	0.0	8.29429960886	0	5			0	0	0	0			4.0	6.0	2.0	2.0							4.0	4.0	0	0	0	0	0	0	0	0	0	0	0	0														0			72.0	0	0		0	0	0	-
pwn_____________A	0.0	11.0989391543	0	5	2.0	1854.0	0	0	0	0	2.0	3.0	7.0	9.0	2.0	3.0							14.0	14.0	0	0	0	0	0	0	0	0	0	0	1	1														0			252.0	0	0		0	0	0	-
pwo_____________A	0.0	12.2548675716	0	6.5			0	0	0	0	1.0	1.0	2.0	2.0									6.0	7.0	0	0	0	0	0	0	0	0	0	0	0	0														0			12.0	0	0		0	0	1	-
pwm_____________A	0.0	9.52376328792	0	5			0	0	0	0			1.0	1.0	1.0	1.0							2.0	5.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	-
pwi_____________A	0.0	0.405465108108	8	8.5			0	0	0	0	66.0	82.0	13.0	16.0	12.0	15.0							7.0	20.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	-
uta_____________A	0.0	9.61587214453	0	6.0			0	0	0	0			1.0	1.0	0.0	3.0							1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
ute_____________A	0.0	7.31488566641	7	6.5			0	0	0	0	1.0	19.0	6.0	8.0	0.0	1.0							12.0	23.0	0	0	0	0	0	0	0	0	0	0	0	0														0			211.0	0	0		0	0	0	-
utr_____________A	0.0	9.21044036698	0	6.0			0	0	0	0			1.0	1.0									1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
utp_____________A	0.0	6.38181601741	0	6.0			0	0	0	0	1.0	1.0	1.0	1.0									2.0	2.0	0	0	0	0	0	0	0	0	0	0	0	0														0			12.0	0	0		0	0	1	-
utu_____________A	0.0	6.36475075685	0	6.0			0	0	0	0			1.0	1.0	2.0	2.0							1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	-
bwc_____________A	0.0	10.3735224313	0	6.0			0	0	0	0			1.0	1.0									1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
nab_____________A	0.0	6.74170069465	7	5	1.0	54950.0	0	0	0	0			5.0	8.0	2.0	2.0							11.0	20.0	0	0	0	0	0	0	0	0	0	0	0	0														0			235.0	1	0	5.0	0	0	0	-
nac_____________A	0.0	8.73568594452	0	5			0	0	0	0	1.0	1.0	3.0	5.0									1.0	18.0	0	0	0	0	0	0	0	0	0	0	0	0														0			12.0	0	0		0	0	0	-
naa_____________A	0.0	3.52636052462	8	8.5			0	0	0	0			1.0	1.0									1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0														0			0.0	0	0		0	0	0	s
naf_____________A	0.0	9.68040649927	0	5	288.0	226594.0	0	0	0	0	4.0	4.0	5.0	6.0	5.0	5.0							5.0	14.0	0	0	0	0	0	0	0	0	0	0	0	0														0			66.0	1	0	5.0	0	0	0	-
