	exp_with_feature_sel_1	exp_with_feature_sel_2	exp_with_feature_sel_3	exp_with_feature_sel_4	exp_with_feature_sel_5	exp_with_feature_sel_6	exp_with_feature_sel_7	exp_with_feature_sel_8	exp_with_feature_sel_9	exp_with_feature_sel_10	exp_with_feature_sel_11	exp_with_feature_sel_12	exp_with_feature_sel_13	exp_with_feature_sel_14	exp_with_feature_sel_15	exp_with_feature_sel_16	exp_with_feature_sel_17	exp_with_feature_sel_18	exp_with_feature_sel_19	exp_with_feature_sel_20	status	stable	status_best	stable_best
lis_____________A	h	s	v	v	v	s	v	s	h	v	v	s	s	h	s	v	s	s	s	v	borderline	-	borderline	-
lix_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
liy_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
liz_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
kac_____________A	h	s	h	h	h	s	h	h	s	h	h	tg	h	v	h	h	h	h	h	s	borderline	-	dead	h
kab_____________A	v	h	h	h	v	v	v	h	v	h	h	v	h	v	v	v	h	v	h	v	borderline	-	living	v
kaa_____________A	v	h	v	s	s	h	v	v	v	v	v	v	h	v	v	v	h	v	h	v	borderline	-	living	v
kag_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
kaf_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
kae_____________A	s	h	s	s	s	h	s	s	s	s	s	h	h	s	s	s	s	s	s	h	dead	-	dead	s
kad_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
kak_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
kaj_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
kai_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
kah_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
kao_____________A	s	h	v	s	s	h	v	s	s	s	h	s	s	s	s	v	s	s	s	v	borderline	-	borderline	-
kan_____________A	v	v	v	tg	v	v	v	v	v	v	v	v	v	v	tg	tg	v	v	v	v	living	-	living	v
kam_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
kal_____________A	v	v	v	v	v	v	v	v	v	v	v	v	v	v	tg	v	v	v	v	v	living	-	living	v
kas_____________A	v	v	v	v	h	v	v	v	h	v	v	s	v	v	v	v	v	s	v	v	borderline	-	borderline	-
kaq_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	h	dead	-	dead	s
kap_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
kaw_____________A	h	h	h	h	h	h	h	h	h	s	s	s	h	h	s	h	s	s	s	h	dead	-	dead	-
kav_____________A	s	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	-	dead	s
kat_____________A	v	v	v	v	v	v	v	v	v	v	v	v	v	v	tg	v	v	v	v	v	living	-	living	v
kaz_____________A	tg	tg	v	tg	tg	tg	v	tg	tg	v	tg	v	tg	v	tg	tg	tg	tg	v	tg	living	-	living	-
kay_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
kax_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
rhg_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
bzw_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
bzv_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
bzu_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
bzt_____________A	s	h	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	s	s	h	dead	-	dead	s
bzs_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
bzr_____________A	s	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	-	dead	s
bzq_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
bzp_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
bzz_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
bzy_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
bzx_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
bzg_____________A	s	h	s	s	s	h	s	s	s	s	s	h	h	s	s	s	s	s	s	h	dead	-	dead	s
bzf_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
bze_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
bzd_____________A	h	s	h	h	h	s	h	h	s	h	s	s	s	s	s	h	h	s	h	s	dead	-	dead	-
bzc_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
bzb_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
bza_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
bzo_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
bzn_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
bzm_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
bzl_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
bzk_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
bzj_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
bzi_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
bzh_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
tft_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
ymq_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
ymp_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
yms_____________A	s	h	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	s	s	h	dead	-	dead	s
ymr_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
ymx_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
ymz_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
yma_____________R	h	h	h	h	h	h	h	h	h	s	s	s	h	h	s	h	s	s	s	h	dead	-	dead	-
ymc_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
ymb_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
yme_____________A	s	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	-	dead	s
ymd_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
ymg_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
ymi_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
ymh_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
ymk_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
tfr_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
ymm_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
yml_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
ymo_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
ymn_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
std_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
stf_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
stg_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
ypg_____________A	s	s	h	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	h	dead	-	dead	s
stb_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
stm_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
stn_____________A	s	s	h	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	-	dead	s
stk_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
ydk_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
woy_____________A	s	h	s	s	s	h	s	s	s	s	s	h	h	s	s	s	s	s	s	h	dead	-	dead	s
wow_____________A	s	s	h	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	-	dead	s
stv_____________A	s	s	v	s	s	s	v	s	s	s	h	s	s	s	s	v	s	s	s	v	borderline	-	borderline	-
abtwos1_________a	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
wor_____________A	s	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	-	dead	s
wom_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
wol_____________A	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	living	v	living	v
woo_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
won_____________A	s	s	h	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	-	dead	s
woi_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
wok_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
woe_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
wod_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
wog_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
wof_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
woa_____________A	s	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	-	dead	s
woc_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
wob_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
adu_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
gmo_____________R	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	h	dead	-	dead	s
ads_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
adp_____________R	s	h	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	s	s	h	dead	-	dead	s
adq_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
adz_____________A	s	s	s	s	s	s	s	s	s	s	s	tg	s	s	s	v	h	s	s	s	borderline	-	dead	s
ady_____________A	h	h	v	h	v	s	h	h	s	h	h	h	h	v	h	v	h	h	h	v	borderline	-	dead	h
adg_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
add_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
ade_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
boz_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
iya_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
iyo_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
adh_____________A	h	h	h	h	h	s	h	s	s	h	h	s	h	h	h	s	h	h	h	s	dead	-	dead	h
iyx_____________A	s	s	h	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	h	dead	-	dead	s
jpn_____________A	tg	tg	tg	tg	tg	tg	v	tg	tg	v	tg	v	tg	tg	tg	tg	tg	v	tg	tg	living	-	living	v
jpa_____________A	s	h	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	s	s	h	dead	-	dead	s
hba_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
hbb_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
tdq_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
gsp_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
gss_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
gsw_____________A	h	h	tg	v	h	h	v	v	h	v	v	v	h	v	v	v	v	v	v	v	borderline	-	living	v
gsc_____________R	s	s	v	s	s	h	s	s	s	s	s	s	s	s	s	s	s	s	s	s	borderline	-	dead	s
gse_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
gsg_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
gsm_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	h	dead	-	dead	s
gsl_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
gso_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
gsn_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
hji_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
qxr_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
eee_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
kux_____________A	s	s	s	h	s	h	s	h	s	h	s	s	s	s	s	s	s	s	s	s	dead	-	dead	s
rhp_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
ruk_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
cgk_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
rui_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
run_____________A	v	v	v	v	v	s	v	v	v	v	v	s	s	v	v	v	v	v	v	v	borderline	-	living	v
ruo_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
cga_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
ruc_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
cgc_____________A	h	h	v	v	h	s	h	h	h	h	h	tg	h	h	h	h	h	s	h	h	borderline	-	dead	-
ruf_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
rug_____________A	s	s	h	s	v	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	borderline	-	dead	s
cgg_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
rue_____________A	v	h	v	s	s	h	v	v	v	v	v	v	h	v	v	s	h	v	h	v	borderline	-	living	v
ruz_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
ruy_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
rus_____________A	tg	tg	tg	tg	tg	tg	tg	tg	tg	tg	tg	tg	tg	tg	tg	tg	tg	tg	tg	tg	living	tg	living	tg
rup_____________A	v	v	v	v	h	v	v	v	tg	h	v	tg	tg	v	v	v	tg	v	v	v	borderline	-	living	v
ruq_____________A	h	h	h	h	h	h	h	h	s	h	h	h	h	h	h	h	h	h	h	s	dead	-	dead	h
rut_____________A	h	h	h	h	h	h	h	h	s	h	h	h	h	h	h	h	h	h	h	s	dead	-	dead	h
ruu_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	h	dead	-	dead	s
bga_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
bgb_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
bgc_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
bgd_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
bge_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
bgf_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
bgg_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
bgh_____________R	s	h	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	s	s	h	dead	-	dead	s
bgi_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
idt_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
idu_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
idr_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
ids_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
bgn_____________A	s	h	h	s	h	s	h	s	s	h	h	s	h	h	h	s	h	h	h	s	dead	-	dead	h
bgo_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
bgp_____________A	h	h	h	h	h	s	h	h	s	h	h	s	h	h	h	h	h	h	h	s	dead	-	dead	h
ido_____________A	v	h	h	v	h	h	v	v	h	h	v	h	h	v	h	h	h	h	h	h	borderline	-	borderline	-
bgr_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
bgs_____________A	h	h	v	s	s	s	s	s	s	s	h	tg	s	s	h	h	h	s	h	h	borderline	-	dead	s
bgt_____________A	h	s	h	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	h	dead	-	dead	s
bgu_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
bgv_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
idi_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
bgx_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
bgy_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
idd_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
ide_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
idb_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
idc_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
ida_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
syc_____________A	s	h	s	s	s	h	s	s	s	s	s	h	h	s	s	s	s	s	s	h	dead	-	dead	s
pww_____________A	s	s	h	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	-	dead	s
pwr_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
aqp_____________A	s	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	s	s	h	dead	-	dead	s
aqr_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
aqz_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
pwg_____________A	h	s	h	s	s	s	s	s	s	s	s	s	s	s	s	h	s	s	s	h	dead	-	dead	s
aqg_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
pwb_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
aqc_____________A	s	s	s	h	s	h	s	h	s	h	s	s	s	s	s	s	h	s	s	s	dead	-	dead	s
pwa_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
pwn_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
pwo_____________A	s	s	h	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	-	dead	s
pwm_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
pwi_____________A	s	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	h	s	s	s	dead	-	dead	s
uta_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
ute_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
utr_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
utp_____________A	h	s	h	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	h	dead	-	dead	s
utu_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
bwc_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
nab_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
nac_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
naa_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
naf_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
nag_____________A	h	h	h	h	h	s	h	h	s	h	h	h	h	h	h	h	h	h	h	v	borderline	-	dead	h
nad_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
nae_____________A	s	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	-	dead	s
naj_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
nak_____________A	h	s	h	s	s	s	s	s	s	s	s	s	s	s	s	h	s	s	s	h	dead	-	dead	s
nan_____________A	v	v	v	v	v	v	v	v	v	v	tg	v	v	v	v	v	v	v	v	v	living	-	living	v
nao_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
nal_____________A	h	s	h	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	h	dead	-	dead	s
nam_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
nar_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
nas_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
nap_____________A	h	h	v	v	h	s	v	s	h	v	h	s	s	v	v	v	s	s	v	v	borderline	-	borderline	-
naq_____________A	h	h	h	h	h	s	h	h	s	h	h	tg	h	tg	h	v	h	h	h	tg	borderline	-	dead	h
nav_____________A	v	v	v	v	v	v	v	v	v	tg	v	tg	s	tg	v	v	v	v	v	v	borderline	-	living	v
naw_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
nat_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
nau_____________A	h	s	v	v	v	h	v	h	s	h	s	s	s	s	s	v	s	s	s	s	borderline	-	borderline	-
naz_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
nax_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
nay_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
tmr_____________A	s	h	s	s	s	h	s	s	s	s	s	h	h	s	s	s	s	s	s	h	dead	-	dead	s
tms_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
tmt_____________A	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	-	dead	s
svm_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
svk_____________A	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
